,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
LID9,9.19136800116,7.02257864629,6.18474467783,1.0,-23.0338278752,8.50085953232,15.7554110171
LID10,7.36022340744,15.8556333889,3.14116486588,1.0,-23.4269043754,9.32370277743,19.462486557
LID11,10.5205482421,8.91755985276,6.23753505664,1.0,-23.9871056131,10.2135344999,24.1017846073
LID12,17.7590636659,6.70430265767,10.7645105507,1.0,-24.4357909632,10.9539008502,27.8547776964
LID13,23.3734008692,7.49733247417,14.7858899872,1.0,-24.8569503318,10.6739588271,31.4118778923
LID14,32.4804330925,9.15303937462,19.4770541814,1.0,-24.8086401575,11.8635794733,36.0631253758
LID15,47.1438190601,9.16465223868,26.8878901806,1.0,-24.7070039543,10.5214810606,39.7017775046
LID16,59.9094727097,11.7281904577,35.2083905319,1.0,-25.55543465,11.6656853115,44.1704099917
RFD2,16.9250366715,11.7666657205,7.51066706114,1.0,13.2612666699,31.8524673001,22.1847965286
RFD4,12.5442549347,7.91127771483,6.25786895828,1.0,16.8758700824,29.5076898625,29.5906423158
RFD6,18.725205414,2342.13749081,6.2596621592,0.0,20.9833974464,28.5002406937,36.7385308525
RFD8,59.7909040976,42.9099946881,39.2632529497,1.0,24.4723356814,26.5075021586,42.9917837814
RFD10,68.3390302558,7.33214113214,39.6232872568,1.0,28.3463981282,23.3298565089,50.2295617848
RATD2,43.8367592942,6.0468649919,33.7190631123,1.0,23.7590771783,8.70022515122,-43.3218900897
RATD4,22.761938088,22142.1727489,15.9043779419,0.0,27.9766248688,6.89023825388,-38.8276467982
RATD6,6.33725319069,7.7529121833,0.0,1.0,33.7447323814,3.29409286895,-31.7834025778
RATD8,12.348848838,105.131170893,9.18011414337,0.0,38.1752087827,1.06484585954,-25.6765032036
RATD10,22.4042736106,50.8459579012,17.3640116793,1.0,43.12264737,-2.14542117325,-20.8992672844
RPTD2,53.2386045514,97.2836339768,38.7384307949,0.0,30.5649627418,-25.3862973282,-23.1193805979
RPTD4,29.8224270063,1238.31539315,17.1266424954,0.0,38.3410153913,-25.2670731826,-20.038649968
RPTD6,21.4894260449,8.32644215819,9.82730449877,1.0,46.0575804209,-26.1664112011,-16.8703519275
RPTD8,42.9501525587,19.3222178946,22.353182325,1.0,52.749992549,-26.6416921438,-13.796477143
RPTD10,63.3679488133,30.6635323949,32.1814009214,1.0,60.3988312655,-26.6204811343,-9.91048534606
